date,cash,stock_value,total_value,close,ma120,ma250,target_position,overlay_total,overlay_stock,overlay_cash
2025-01-24,4383528.750842825,3219742.306529001,7603271.057371825,3832.864,3715.6954,3602.885744,1.0,7603271.057371825,7603271.057371825,0.0
2025-01-27,4383528.750842825,3192540.028054999,7576068.778897824,3817.08,3718.8203666666664,3605.030384,1.0,7576068.778897824,7576068.778897824,0.0
2025-02-05,4383528.750842825,3225044.4864640003,7608573.237306825,3795.085,3721.9521833333333,3607.00722,1.0,7608573.237306825,7608573.237306825,0.0
2025-02-06,4383528.750842825,3336904.2578210006,7720433.008663826,3842.831,3725.7725083333335,3609.462216,1.0,7720433.008663826,7720433.008663826,0.0
2025-02-07,4383528.750842825,3372824.906576,7756353.657418825,3892.703,3730.3506916666665,3611.9341120000004,1.0,7756353.657418825,7756353.657418825,0.0
2025-02-10,4383528.750842825,3462218.5017190007,7845747.252561825,3901.062,3735.0013833333337,3614.459256,1.0,7845747.252561825,7845747.252561825,0.0
2025-02-11,4383528.750842825,3455001.515926,7838530.266768824,3883.135,3739.5150999999996,3617.116188,1.0,7838530.266768824,7838530.266768824,0.0
2025-02-12,4383528.750842825,3538280.394712,7921809.145554825,3919.862,3744.3228083333333,3619.867904,1.0,7921809.145554825,7921809.145554825,0.0
2025-02-13,4383528.750842825,3507221.0699580023,7890749.820800827,3905.14,3749.102083333333,3622.380028,1.0,7890749.820800827,7890749.820800827,0.0
2025-02-14,4383528.750842825,3474014.175132,7857542.925974824,3939.009,3754.2116166666665,3624.764388,1.0,7857542.925974824,7857542.925974824,0.0
2025-02-17,4383528.750842825,3524040.832169,7907569.583011825,3947.398,3759.3200166666666,3627.218696,1.0,7907569.583011825,7907569.583011825,0.0
2025-02-18,4383528.750842825,3425925.4296300006,7809454.180472825,3912.783,3764.34955,3629.653988,1.0,7809454.180472825,7809454.180472825,0.0
2025-02-19,4383528.750842825,3532840.4442420006,7916369.195084825,3940.16,3769.334608333333,3632.434472,1.0,7916369.195084825,7916369.195084825,0.0
2025-02-20,4383528.750842825,3550634.655361,7934163.406203825,3928.896,3774.1951249999997,3635.288648,1.0,7934163.406203825,7934163.406203825,0.0
2025-02-21,4383528.750842825,3606636.302150999,7990165.052993824,3978.444,3779.3740916666666,3638.33158,1.0,7990165.052993824,7990165.052993824,0.0
2025-02-24,4383528.750842825,3579094.237307,7962622.988149825,3969.717,3784.682541666667,3641.491936,1.0,7962622.988149825,7962622.988149825,0.0
2025-02-25,4383528.750842825,3569091.456619999,7952620.207462823,3925.651,3789.7160083333333,3644.392852,1.0,7952620.207462823,7952620.207462823,0.0
2025-02-26,4383528.750842825,3616287.800477,7999816.551319824,3959.941,3795.1060500000003,3646.9858480000003,1.0,7999816.551319824,7999816.551319824,0.0
2025-02-27,4383528.750842825,3615114.79146,7998643.542302825,3968.116,3800.447091666667,3649.483792,1.0,7998643.542302825,7998643.542302825,0.0
2025-02-28,4383528.750842825,3461852.992217999,7845381.743060823,3890.049,3805.1623083333334,3651.584268,1.0,7845381.743060823,7845381.743060823,0.0
2025-03-03,4383528.750842825,3481815.4786130004,7865344.229455825,3888.474,3810.021808333333,3653.522932,1.0,7865344.229455825,7865344.229455825,0.0
